#{"t_start": 1754430355.9672458, "env_id": "None"}
r,l,t
110.7,42,124.700535
109.64,38,124.740538
112.44,37,124.777114
29.01,200,124.988805
101.38,48,125.038799
114.77,94,125.143801
116.5,30,125.178797
109.57,35,125.220802
119.5,60,125.289803
128.66,185,125.491803
109.91,9,125.502799
115.94,66,125.5768
133.07,174,125.779805
110.96,35,125.821798
118.39,71,125.901802
115.61,29,125.934801
131.67,176,126.113801
-4.8,200,126.331799
116.89,73,126.405797
111.56,34,126.440805
109.32,29,126.470801
116.12,48,126.518805
129.19,132,126.651801
113.08,107,126.759802
112.39,21,126.780802
112.1,31,126.815802
-14.39,200,127.055829
35.6,200,127.253828
104.73,61,127.315826
113.59,31,127.346826
-0.82,200,127.549824
106.86,66,127.615826
103.47,52,127.668828
122.72,101,127.773828
112.97,23,127.795829
23.69,200,127.995829
1.75,200,130.552047
114.16,76,130.640045
102.5,99,130.753047
-28.79,200,130.963589
-10.77,200,131.154592
81.41,183,131.373522
114.22,18,131.390522
28.45,200,131.58924
107.91,77,131.671243
111.72,29,131.714241
96.45,62,131.8122
29.91,200,132.063193
35.8,200,132.2732
106.25,51,132.327196
121.27,94,132.428207
12.12,200,132.642681
113.66,34,132.679684
24.04,200,132.895681
106.98,22,132.919685
88.28,155,133.092193
111.99,42,133.140194
95.27,85,133.228719
-24.59,200,133.437754
109.62,51,133.499131
-26.71,200,133.755841
115.74,57,133.815837
36.71,200,134.041841
101.45,139,134.248374
109.85,88,134.365374
28.62,200,134.574376
103.37,92,134.686378
35.5,200,135.058372
104.2,35,135.181897
127.14,108,135.303894
115.25,25,135.3279
123.85,105,137.902755
114.38,22,137.931757
37.2,200,138.183671
104.01,74,138.253668
110.19,43,138.293668
33.1,200,138.487675
66.38,154,138.636674
24.33,200,138.914667
117.96,76,139.012671
112.43,68,139.091671
115.42,38,139.134671
105.17,69,139.209671
27.71,200,139.476668
123.92,99,139.581671
114.19,66,139.655668
102.38,48,139.710669
124.51,142,139.851671
107.23,18,139.870671
107.05,28,139.898671
110.88,12,139.91067
114.14,110,140.068672
30.21,200,140.334544
121.4,131,140.463626
33.83,200,140.653629
122.4,50,140.702625
112.06,34,140.734628
113.37,13,140.746626
118.34,107,140.847655
114.28,63,140.907628
-12.06,200,141.101629
119.14,96,141.191627
120.64,87,141.273627
35.9,200,141.462629
36.3,200,141.65163
106.2,87,141.735628
118.42,88,141.818628
112.82,28,141.84463
111.63,17,141.86163
67.93,145,141.999633
-43.72,200,142.188627
122.11,59,144.406854
120.75,65,144.474854
129.13,180,144.692552
15.05,200,144.889532
136.14,176,145.054529
30.7,200,145.242533
106.0,22,145.263531
114.98,52,145.31253
94.91,70,145.379532
-83.76,200,145.568145
119.37,93,145.654147
4.74,200,145.842148
115.27,23,145.864151
115.09,105,145.964146
107.61,20,145.984144
115.37,43,146.024146
94.64,181,146.194144
64.78,195,146.376151
33.01,200,146.56415
36.12,200,146.755144
114.03,87,146.854146
109.5,21,146.888161
119.45,65,146.958598
107.91,52,147.0072
107.62,19,147.027778
106.52,20,147.047778
120.62,109,147.151203
114.09,82,147.227198
-8.34,200,147.413725
113.71,29,147.441723
-75.38,200,147.62772
115.78,32,147.658723
124.04,188,147.836721
113.55,35,147.87073
29.51,200,148.064728
111.39,52,148.114728
121.82,129,148.238199
114.71,19,148.259193
21.31,200,150.557401
119.13,77,150.6384
108.99,64,150.699401
106.93,30,150.7274
111.84,16,150.7424
114.34,78,150.814923
93.92,57,150.868923
27.8,200,151.207929
34.31,200,151.517801
24.72,200,151.735813
18.18,200,151.933839
122.95,116,152.052836
114.05,127,152.223851
113.31,39,152.305858
115.47,23,152.346856
115.55,78,152.439862
100.76,127,152.566877
88.34,103,152.700434
23.54,200,152.948068
116.84,56,153.006061
107.72,29,153.038064
117.15,86,153.132066
30.1,200,153.354066
108.25,26,153.382061
113.03,88,153.475069
26.21,200,153.739638
24.81,200,153.952652
104.92,20,153.973656
121.35,95,154.079559
118.91,92,154.179559
113.87,85,154.269561
120.31,79,154.352557
-8.51,200,154.562582
109.21,19,154.584604
121.83,77,154.675606
111.99,74,154.755606
3.81,200,154.976618
110.26,14,154.992643
111.42,101,155.092648
115.85,55,155.14964
-31.71,200,157.816403
113.79,41,157.859404
98.59,80,157.956401
115.53,47,158.039024
28.7,200,158.265607
114.22,18,158.284605
115.82,48,158.335606
112.23,18,158.354601
-14.67,200,158.571602
105.37,16,158.592605
130.64,156,158.792603
104.84,31,158.869612
116.31,184,159.175605
109.69,64,159.268606
112.69,198,159.493612
118.81,89,159.599608
14.91,200,159.826685
113.65,15,159.84369
102.46,38,159.888691
26.11,200,160.083688
118.37,134,160.247689
112.94,48,160.292688
120.62,68,160.358891
16.38,200,160.99191
117.82,90,161.316895
26.42,200,161.542888
34.1,200,161.854889
121.57,83,161.956888
119.77,95,162.12189
98.92,23,162.169896
114.17,45,162.231921
33.5,200,162.568159
100.01,24,162.603821
26.72,200,162.876813
117.76,125,163.019817
105.21,21,163.046815
110.64,100,163.154812
113.18,33,163.202814
131.8,161,163.393816
104.24,82,165.99194
12.17,200,166.232937
6.63,200,166.584941
111.27,13,166.60794
121.2,100,166.733941
36.5,200,167.119065
1.71,200,167.536634
118.46,137,167.73463
42.81,200,167.976654
